Date,Open,High,Low,Close,Volume
2009-11-02,6956.93,7037.77,6893.21,6973.91,2034296
2009-11-03,6836.94,6910.06,6797.28,6870.21,776880
2009-11-04,6949.25,7097.65,6816.48,6964.59,2748027
2009-11-05,7038.79,7216.54,6904.66,7081.6,1563004
2009-11-06,6853.86,6964.14,6764.86,6874.86,4994814
2009-11-09,6767.93,6866.98,6644.96,6743.65,1378198
2009-11-10,6776.07,6856.97,6687.08,6767.88,3725589
2009-11-11,6747.74,6823.96,6667.76,6743.94,5754074
2009-11-12,6731.89,6798.06,6686.17,6752.2,1189964
2009-11-13,6639.73,6713.5,6596.89,6670.46,1765725
2009-11-16,6751.62,6832.29,6694.29,6774.77,2503437
2009-11-17,6868.47,6989.91,6747.93,6869.36,1185402
2009-11-18,6904.17,6953.8,6836.74,6886.24,2331860
2009-11-19,7040.2,7099.34,6962.22,7021.2,1732451
2009-11-20,7096.86,7190.75,6989.75,7083.46,1711634
2009-11-23,6980.52,7053.56,6923.1,6996.0,2041842
2009-11-24,7047.08,7099.57,6994.08,7046.57,2069378
2009-11-25,6941.45,7041.6,6848.09,6948.15,2187628
2009-11-26,7051.07,7129.56,6976.88,7055.33,1384298
2009-11-27,7101.5,7203.71,6956.78,7058.37,1421036
2009-11-30,7008.76,7177.65,6877.81,7046.01,1846582
2009-12-01,6972.98,7028.59,6922.32,6977.89,1930221
2009-12-02,7149.87,7283.58,6990.74,7123.97,1523758
2009-12-03,7083.15,7246.32,6951.85,7114.44,2408136
2009-12-04,7060.03,7197.03,6936.93,7073.69,667398
2009-12-07,7030.42,7143.48,6928.7,7041.6,1279167
2009-12-08,7104.61,7211.06,7003.0,7109.38,1676205
2009-12-09,7124.23,7262.93,7020.3,7158.5,1186277
2009-12-10,7226.13,7337.11,7102.48,7213.25,5269883
2009-12-11,7284.89,7323.12,7232.21,7270.36,2005325
2009-12-14,7542.59,7688.7,7385.21,7531.1,2204611
2009-12-15,7469.81,7592.6,7366.85,7489.37,1483717
2009-12-16,7437.03,7561.39,7310.77,7435.1,1964076
2009-12-17,7325.7,7423.82,7247.62,7345.52,956320
2009-12-18,7417.38,7463.29,7378.91,7424.79,1790686
2009-12-21,7615.47,7711.78,7470.9,7566.59,1130075
2009-12-22,7561.27,7656.6,7463.79,7559.1,1678746
2009-12-23,7437.61,7550.45,7351.67,7464.2,426791
2009-12-24,7376.18,7450.65,7297.76,7372.19,1007717
2009-12-25,7424.8,7520.25,7359.86,7455.04,4772380
2009-12-28,7522.68,7647.33,7425.54,7549.83,3263264
2009-12-29,7597.43,7702.24,7516.67,7621.23,4375028
2009-12-30,7535.74,7693.31,7388.42,7545.79,4559086
2009-12-31,7600.32,7658.04,7521.47,7579.02,2969168
2010-01-01,7611.36,7685.92,7523.76,7598.18,1510994
2010-01-04,7641.64,7713.54,7557.88,7629.67,1064110
2010-01-05,7716.04,7843.36,7614.58,7741.56,3945344
2010-01-06,7761.31,7871.02,7664.38,7773.93,2061080
2010-01-07,7869.77,7985.11,7748.11,7863.36,8854299
2010-01-08,7861.39,8027.85,7710.05,7876.23,1592699
2010-01-11,7910.37,7990.44,7836.98,7916.98,6476802
2010-01-12,8012.07,8135.39,7878.32,8001.47,1804736
2010-01-13,7812.77,7863.0,7770.77,7820.95,4419906
2010-01-14,7790.04,7859.65,7715.19,7784.76,5487673
2010-01-15,7766.86,7859.71,7637.5,7729.92,1073280
2010-01-18,7650.71,7696.49,7608.9,7654.66,1482145
2010-01-19,7651.21,7760.35,7515.47,7624.23,1066840
2010-01-20,7825.03,7943.78,7693.38,7811.93,947927
2010-01-21,7673.47,7832.27,7549.16,7707.4,2958639
2010-01-22,7804.7,7930.42,7705.2,7830.59,1762110
2010-01-25,7606.14,7732.41,7499.2,7625.21,2046046
2010-01-26,7567.51,7669.97,7484.71,7586.96,2768298
2010-01-27,7607.06,7651.88,7564.32,7609.12,650546
2010-01-28,7697.27,7747.3,7633.17,7683.1,4291125
2010-01-29,7802.47,7918.15,7657.97,7773.2,1608067
2010-02-01,7881.85,8038.97,7717.61,7874.57,2728986
2010-02-02,7822.22,7873.71,7781.26,7832.69,2877486
2010-02-03,7728.18,7880.69,7624.91,7776.76,4513023
2010-02-04,7887.63,8015.92,7757.69,7885.96,1861858
2010-02-05,7864.04,8000.89,7726.6,7863.43,554497
2010-02-08,7710.22,7811.83,7604.44,7705.99,2051899
2010-02-09,7616.64,7725.55,7460.59,7568.82,2236503
2010-02-10,7487.22,7602.9,7344.2,7459.46,1066020
2010-02-11,7537.82,7672.63,7385.61,7520.1,2166220
2010-02-12,7516.48,7589.75,7465.11,7538.24,1596603
2010-02-15,7611.13,7766.88,7467.33,7622.86,885889
2010-02-16,7569.55,7612.52,7528.75,7571.71,2966492
2010-02-17,7573.96,7724.8,7441.09,7591.62,1413762
2010-02-18,7680.1,7727.34,7621.42,7668.59,1553735
2010-02-19,7639.4,7699.9,7570.79,7631.23,1502217
2010-02-22,7662.52,7726.5,7623.76,7687.62,4161088
2010-02-23,7634.26,7723.42,7518.11,7606.95,1934675
2010-02-24,7565.45,7641.22,7487.38,7563.13,2079129
2010-02-25,7478.23,7573.53,7422.22,7517.23,1522125
2010-02-26,7373.7,7461.61,7286.94,7374.83,2617473
2010-03-01,7438.79,7520.88,7350.5,7432.52,4455237
2010-03-02,7398.36,7520.54,7255.0,7376.83,2924741
2010-03-03,7370.69,7513.89,7235.09,7378.16,2993998
2010-03-04,7453.38,7563.61,7324.96,7434.91,2852590
2010-03-05,7492.14,7543.59,7436.53,7487.94,866185
2010-03-08,7537.88,7639.1,7466.79,7567.73,1172124
2010-03-09,7523.33,7696.69,7382.64,7555.4,1753295
2010-03-10,7529.21,7576.88,7456.43,7503.94,1282704
2010-03-11,7520.74,7604.24,7410.65,7493.85,1046830
2010-03-12,7300.74,7440.46,7154.09,7293.68,644799
2010-03-15,7158.12,7295.98,6988.89,7126.14,883885
2010-03-16,6998.4,7076.56,6898.37,6976.28,1699907
2010-03-17,6879.27,6982.53,6762.14,6865.19,1901862
2010-03-18,6889.65,6990.41,6808.0,6908.53,1232022
2010-03-19,6843.79,6955.36,6697.44,6808.43,2078911
2010-03-22,6777.48,6814.58,6729.55,6766.59,1528350
2010-03-23,6899.91,6957.39,6850.49,6907.91,3814591
2010-03-24,6854.03,6965.41,6756.62,6867.8,1799509
2010-03-25,6953.79,7012.82,6889.46,6948.44,3011047
2010-03-26,6810.21,6947.13,6708.12,6844.52,2239869
2010-03-29,6835.46,6905.65,6751.1,6821.15,854915
2010-03-30,6698.11,6840.25,6575.53,6717.32,1877788
2010-03-31,6687.47,6803.09,6564.55,6680.05,944702
2010-04-01,6758.9,6853.39,6675.14,6769.5,1858216
2010-04-02,6578.79,6693.27,6469.63,6584.01,1267962
2010-04-05,6613.91,6689.07,6553.94,6628.96,2493449
2010-04-06,6650.02,6735.83,6567.47,6653.24,886102
2010-04-07,6626.65,6679.42,6536.84,6589.3,2000326
2010-04-08,6464.38,6580.18,6322.31,6437.63,2795298
2010-04-09,6450.94,6562.84,6332.31,6444.09,3417969
2010-04-12,6388.27,6507.15,6269.88,6388.76,1253561
2010-04-13,6427.85,6544.6,6295.17,6411.61,2003989
2010-04-14,6434.63,6559.42,6288.52,6412.89,2214391
2010-04-15,6562.0,6633.8,6506.71,6578.37,5016664
2010-04-16,6550.73,6676.6,6426.41,6552.25,815210
2010-04-19,6409.64,6532.32,6322.68,6444.87,1147778
2010-04-20,6484.21,6557.73,6389.17,6462.44,10667128
2010-04-21,6524.46,6611.92,6397.36,6484.29,1683089
2010-04-22,6627.5,6694.69,6558.72,6625.9,637560
2010-04-23,6671.29,6776.72,6609.06,6714.09,1397883
2010-04-26,6763.95,6822.25,6693.42,6751.62,376501
2010-04-27,6891.89,6953.73,6848.91,6910.63,2291122
2010-04-28,6766.05,6863.94,6681.83,6779.55,3223153
2010-04-29,6722.27,6845.39,6586.76,6709.65,1147392
2010-04-30,6615.15,6710.75,6514.57,6610.1,1494893
2010-05-03,6558.61,6652.39,6474.56,6568.23,3451061
2010-05-04,6411.88,6497.82,6338.6,6424.4,693752
2010-05-05,6491.76,6569.44,6411.66,6489.31,897220
2010-05-06,6457.66,6518.23,6405.1,6465.6,1729133
2010-05-07,6293.58,6424.12,6184.43,6314.6,1262493
2010-05-10,6206.04,6261.79,6156.54,6212.24,1662245
2010-05-11,6249.29,6347.72,6144.61,6242.93,928893
2010-05-12,6323.32,6430.46,6219.62,6326.7,2254836
2010-05-13,6503.9,6620.58,6415.3,6531.6,1812939
2010-05-14,6863.16,6986.31,6720.07,6842.85,2756615
2010-05-17,6831.36,6952.46,6767.38,6887.95,2236090
2010-05-18,6770.31,6902.94,6646.93,6779.39,2244546
2010-05-19,6539.52,6656.16,6435.28,6551.71,832522
2010-05-20,6582.5,6694.28,6467.85,6579.58,2664574
2010-05-21,6505.29,6602.66,6397.13,6494.34,1625750
2010-05-24,6472.98,6587.52,6337.02,6451.17,1794148
2010-05-25,6374.55,6515.3,6247.72,6388.2,3718974
2010-05-26,6385.0,6457.16,6301.74,6373.78,1287661
2010-05-27,6487.24,6598.87,6371.86,6483.43,4460228
2010-05-28,6466.43,6604.9,6361.88,6499.81,4717007
