Date,Open,High,Low,Close,Volume
2009-11-02,1476.73,1493.89,1463.21,1480.34,2034296
2009-11-03,1452.7,1468.24,1444.28,1459.77,776880
2009-11-04,1475.38,1506.89,1447.2,1478.64,2748027
2009-11-05,1492.91,1530.62,1464.47,1501.99,1563004
2009-11-06,1456.46,1479.89,1437.54,1460.92,4994814
2009-11-09,1440.0,1461.07,1413.83,1434.83,1378198
2009-11-10,1441.47,1458.68,1422.54,1439.73,3725589
2009-11-11,1435.83,1452.05,1418.81,1435.02,5754074
2009-11-12,1432.41,1446.49,1422.68,1436.73,1189964
2009-11-13,1413.93,1429.64,1404.81,1420.48,1765725
2009-11-16,1436.43,1453.59,1424.23,1441.35,2503437
2009-11-17,1460.08,1485.89,1434.45,1460.27,1185402
2009-11-18,1467.5,1478.04,1453.16,1463.68,2331860
2009-11-19,1494.65,1507.21,1478.09,1490.61,1732451
2009-11-20,1505.9,1525.82,1483.17,1503.06,1711634
2009-11-23,1482.41,1497.92,1470.22,1485.7,2041842
2009-11-24,1495.92,1507.06,1484.67,1495.81,2069378
2009-11-25,1474.84,1496.12,1455.0,1476.26,2187628
2009-11-26,1496.74,1513.4,1480.99,1497.64,1384298
2009-11-27,1507.44,1529.14,1476.72,1498.29,1421036
2009-11-30,1487.96,1523.81,1460.16,1495.86,1846582
2009-12-01,1481.3,1493.11,1470.53,1482.34,1930221
2009-12-02,1516.94,1545.31,1483.18,1511.45,1523758
2009-12-03,1502.94,1537.56,1475.08,1509.58,2408136
2009-12-04,1498.6,1527.68,1472.47,1501.5,667398
2009-12-07,1492.77,1516.78,1471.17,1495.14,1279167
2009-12-08,1507.64,1530.23,1486.08,1508.65,1676205
2009-12-09,1511.18,1540.6,1489.13,1518.45,1186277
2009-12-10,1532.09,1555.61,1505.87,1529.35,5269883
2009-12-11,1543.8,1551.9,1532.64,1540.72,2005325
2009-12-14,1594.91,1625.81,1561.63,1592.48,2204611
2009-12-15,1580.09,1606.06,1558.31,1584.22,1483717
2009-12-16,1573.88,1600.2,1547.16,1573.47,1964076
2009-12-17,1551.5,1572.28,1534.97,1555.7,956320
2009-12-18,1569.87,1579.59,1561.73,1571.44,1790686
2009-12-21,1609.9,1630.26,1579.34,1599.57,1130075
2009-12-22,1598.54,1618.7,1577.94,1598.09,1678746
2009-12-23,1573.65,1597.52,1555.46,1579.27,426791
2009-12-24,1561.86,1577.62,1545.25,1561.01,1007717
2009-12-25,1571.05,1591.25,1557.31,1577.45,4772380
2009-12-28,1590.5,1616.85,1569.96,1596.24,3263264
2009-12-29,1605.35,1627.5,1588.29,1610.38,4375028
2009-12-30,1593.3,1626.61,1562.15,1595.42,4559086
2009-12-31,1606.5,1618.7,1589.83,1602.0,2969168
2010-01-01,1608.56,1624.32,1590.05,1605.78,1510994
2010-01-04,1614.53,1629.72,1596.83,1612.0,1064110
2010-01-05,1628.75,1655.62,1607.33,1634.13,3945344
2010-01-06,1637.85,1661.01,1617.4,1640.52,2061080
2010-01-07,1659.53,1683.85,1633.88,1658.18,8854299
2010-01-08,1657.57,1692.67,1625.66,1660.7,1592699
2010-01-11,1667.33,1684.21,1651.86,1668.73,6476802
2010-01-12,1687.62,1713.59,1659.44,1685.39,1804736
2010-01-13,1647.96,1658.55,1639.1,1649.68,4419906
2010-01-14,1643.6,1658.29,1627.81,1642.49,5487673
2010-01-15,1639.4,1659.0,1612.1,1631.61,1073280
2010-01-18,1615.84,1625.51,1607.01,1616.67,1482145
2010-01-19,1616.31,1639.36,1587.63,1610.61,1066840
2010-01-20,1650.47,1675.52,1622.71,1647.71,947927
2010-01-21,1619.83,1653.35,1593.59,1626.99,2958639
2010-01-22,1645.85,1672.36,1624.87,1651.31,1762110
2010-01-25,1606.6,1633.27,1584.01,1610.63,2046046
2010-01-26,1598.9,1620.55,1581.4,1603.01,2768298
2010-01-27,1606.91,1616.38,1597.88,1607.35,650546
2010-01-28,1624.93,1635.49,1611.4,1621.94,4291125
2010-01-29,1645.89,1670.29,1615.41,1639.71,1608067
2010-02-01,1661.23,1694.35,1626.61,1659.7,2728986
2010-02-02,1649.16,1660.01,1640.52,1651.36,2877486
2010-02-03,1630.0,1662.17,1608.22,1640.25,4513023
2010-02-04,1662.12,1689.16,1634.74,1661.77,1861858
2010-02-05,1657.39,1686.23,1628.42,1657.26,554497
2010-02-08,1626.96,1648.4,1604.64,1626.07,2051899
2010-02-09,1608.96,1631.96,1575.99,1598.85,2236503
2010-02-10,1582.99,1607.45,1552.75,1577.12,1066020
2010-02-11,1592.82,1621.3,1560.66,1589.08,2166220
2010-02-12,1588.0,1603.48,1577.15,1592.6,1596603
2010-02-15,1606.81,1639.69,1576.45,1609.29,885889
2010-02-16,1598.64,1607.71,1590.02,1599.09,2966492
2010-02-17,1599.23,1631.08,1571.18,1602.96,1413762
2010-02-18,1620.55,1630.52,1608.17,1618.12,1553735
2010-02-19,1612.38,1625.15,1597.9,1610.65,1502217
2010-02-22,1616.44,1629.94,1608.26,1621.73,4161088
2010-02-23,1611.46,1630.28,1586.95,1605.7,1934675
2010-02-24,1597.44,1613.44,1580.95,1596.95,2079129
2010-02-25,1579.55,1599.68,1567.72,1587.78,1522125
2010-02-26,1559.25,1577.84,1540.91,1559.49,2617473
2010-03-01,1572.17,1589.52,1553.51,1570.85,4455237
2010-03-02,1564.28,1590.12,1533.97,1559.73,2924741
2010-03-03,1558.34,1588.61,1529.67,1559.92,2993998
2010-03-04,1574.98,1598.27,1547.85,1571.08,2852590
2010-03-05,1582.39,1593.25,1570.64,1581.5,866185
2010-03-08,1590.91,1612.27,1575.91,1597.21,1172124
2010-03-09,1587.92,1624.51,1558.22,1594.69,1753295
2010-03-10,1589.75,1599.81,1574.38,1584.41,1282704
2010-03-11,1588.01,1605.64,1564.76,1582.33,1046830
2010-03-12,1544.08,1573.63,1513.07,1542.59,644799
2010-03-15,1516.03,1545.23,1480.19,1509.26,883885
2010-03-16,1484.09,1500.67,1462.88,1479.4,1699907
2010-03-17,1460.21,1482.13,1435.35,1457.23,1901862
2010-03-18,1461.76,1483.14,1444.44,1465.77,1232022
2010-03-19,1453.27,1476.96,1422.2,1445.76,2078911
2010-03-22,1439.66,1447.54,1429.48,1437.35,1528350
2010-03-23,1463.7,1475.89,1453.21,1465.39,3814591
2010-03-24,1454.41,1478.04,1433.74,1457.33,1799509
2010-03-25,1474.42,1486.93,1460.77,1473.28,3011047
2010-03-26,1445.25,1474.3,1423.58,1452.53,2239869
2010-03-29,1450.83,1465.73,1432.93,1447.79,854915
2010-03-30,1422.96,1453.16,1396.92,1427.04,1877788
2010-03-31,1421.11,1445.68,1394.99,1419.53,944702
2010-04-01,1435.01,1455.07,1417.23,1437.26,1858216
2010-04-02,1399.12,1423.46,1375.9,1400.23,1267962
2010-04-05,1405.9,1421.88,1393.16,1409.1,2493449
2010-04-06,1413.17,1431.41,1395.63,1413.86,886102
2010-04-07,1408.97,1420.19,1389.88,1401.03,2000326
2010-04-08,1376.39,1401.05,1346.14,1370.69,2795298
