Date,Open,High,Low,Close,Volume
2009-11-02,1880.64,1902.5,1863.42,1885.23,2034296
2009-11-03,1846.25,1866.0,1835.54,1855.24,776880
2009-11-04,1877.95,1918.05,1842.07,1882.09,2748027
2009-11-05,1903.9,1951.98,1867.62,1915.48,1563004
2009-11-06,1850.23,1880.0,1826.2,1855.9,4994814
2009-11-09,1824.62,1851.32,1791.46,1818.07,1378198
2009-11-10,1827.01,1848.82,1803.01,1824.8,3725589
2009-11-11,1818.76,1839.3,1797.2,1817.73,5754074
2009-11-12,1814.42,1832.25,1802.1,1819.89,1189964
2009-11-13,1788.02,1807.88,1776.48,1796.29,1765725
2009-11-16,1819.71,1841.46,1804.26,1825.95,2503437
2009-11-17,1852.61,1885.37,1820.1,1852.85,1185402
2009-11-18,1862.32,1875.71,1844.14,1857.49,2331860
2009-11-19,1901.12,1917.09,1880.06,1895.99,1732451
2009-11-20,1917.28,1942.64,1888.34,1913.66,1711634
2009-11-23,1884.19,1903.91,1868.69,1888.37,2041842
2009-11-24,1902.82,1916.99,1888.51,1902.68,2069378
2009-11-25,1872.46,1899.48,1847.28,1874.27,2187628
2009-11-26,1903.67,1924.86,1883.64,1904.82,1384298
2009-11-27,1917.15,1944.74,1878.08,1905.5,1421036
2009-11-30,1891.73,1937.31,1856.38,1901.78,1846582
2009-12-01,1880.75,1895.75,1867.09,1882.07,1930221
2009-12-02,1930.78,1966.89,1887.81,1923.79,1523758
2009-12-03,1912.43,1956.49,1876.98,1920.88,2408136
2009-12-04,1905.33,1942.31,1872.11,1909.02,667398
2009-12-07,1896.64,1927.14,1869.19,1899.65,1279167
2009-12-08,1917.63,1946.36,1890.21,1918.92,1676205
2009-12-09,1923.59,1961.04,1895.53,1932.85,1186277
2009-12-10,1951.87,1981.85,1918.47,1948.39,5269883
2009-12-11,1968.55,1978.88,1954.32,1964.63,2005325
2009-12-14,2042.52,2082.08,1999.9,2039.41,2204611
2009-12-15,2021.95,2055.19,1994.08,2027.24,1483717
2009-12-16,2012.0,2045.65,1977.84,2011.48,1964076
2009-12-17,1980.23,2006.76,1959.13,1985.59,956320
2009-12-18,2006.21,2018.63,1995.81,2008.21,1790686
2009-12-21,2062.08,2088.15,2022.93,2048.84,1130075
2009-12-22,2047.12,2072.93,2020.73,2046.54,1678746
2009-12-23,2011.91,2042.44,1988.67,2019.11,426791
2009-12-24,1993.61,2013.74,1972.42,1992.53,1007717
2009-12-25,2008.02,2033.83,1990.45,2016.2,4772380
2009-12-28,2035.96,2069.7,2009.67,2043.31,3263264
2009-12-29,2057.27,2085.65,2035.4,2063.71,4375028
2009-12-30,2039.16,2081.8,1999.3,2041.89,4559086
2009-12-31,2057.08,2072.7,2035.73,2051.31,2969168
2010-01-01,2060.27,2080.45,2036.55,2056.7,1510994
2010-01-04,2068.87,2088.34,2046.19,2065.63,1064110
2010-01-05,2090.79,2125.29,2063.3,2097.71,3945344
2010-01-06,2103.49,2133.22,2077.22,2106.91,2061080
2010-01-07,2134.29,2165.57,2101.3,2132.55,8854299
2010-01-08,2132.12,2177.26,2091.07,2136.14,1592699
2010-01-11,2145.98,2167.7,2126.07,2147.77,6476802
2010-01-12,2174.9,2208.37,2138.59,2172.02,1804736
2010-01-13,2117.67,2131.28,2106.28,2119.89,4419906
2010-01-14,2110.79,2129.65,2090.51,2109.36,5487673
2010-01-15,2103.48,2128.62,2068.44,2093.47,1073280
2010-01-18,2070.66,2083.05,2059.34,2071.72,1482145
2010-01-19,2070.18,2099.71,2033.45,2062.88,1066840
2010-01-20,2120.34,2152.51,2084.66,2116.78,947927
2010-01-21,2077.43,2120.42,2043.77,2086.61,2958639
2010-01-22,2114.96,2149.03,2088.0,2121.98,1762110
2010-01-25,2057.64,2091.8,2028.72,2062.8,2046046
2010-01-26,2046.47,2074.18,2024.08,2051.73,2768298
2010-01-27,2057.46,2069.58,2045.9,2058.02,650546
2010-01-28,2083.04,2096.57,2065.69,2079.2,4291125
2010-01-29,2112.97,2144.29,2073.83,2105.04,1608067
2010-02-01,2136.11,2178.69,2091.6,2134.14,2728986
2010-02-02,2119.17,2133.12,2108.07,2122.01,2877486
2010-02-03,2092.68,2133.98,2064.72,2105.84,4513023
2010-02-04,2137.65,2172.42,2102.44,2137.2,1861858
2010-02-05,2130.81,2167.89,2093.57,2130.64,554497
2010-02-08,2086.42,2113.92,2057.8,2085.28,2051899
2010-02-09,2058.73,2088.16,2016.55,2045.8,2236503
2010-02-10,2021.84,2053.08,1983.22,2014.35,1066020
2010-02-11,2036.48,2072.9,1995.36,2031.69,2166220
