Date,Open,High,Low,Close,Volume
2009-11-02,24449.7,24733.84,24225.79,24509.38,2034296
2009-11-03,23979.28,24235.75,23840.21,24095.99,776880
2009-11-04,24411.02,24932.31,23944.64,24464.9,2748027
2009-11-05,24773.37,25398.97,24301.29,24924.02,1563004
2009-11-06,24029.76,24416.38,23717.7,24103.37,4994814
2009-11-09,23667.95,24014.33,23237.89,23583.03,1378198
2009-11-10,23703.66,23986.65,23392.33,23674.99,3725589
2009-11-11,23590.79,23857.28,23311.18,23577.53,5754074
2009-11-12,23535.78,23767.13,23375.93,23606.8,1189964
2009-11-13,23175.14,23432.63,23025.63,23282.43,1765725
2009-11-16,23608.34,23890.45,23407.88,23689.3,2503437
2009-11-17,24055.54,24480.88,23633.37,24058.66,1185402
2009-11-18,24184.98,24358.81,23948.78,24122.15,2331860
2009-11-19,24718.39,24926.04,24444.57,24651.66,1732451
2009-11-20,24941.88,25271.84,24565.45,24894.79,1711634
2009-11-23,24492.11,24748.37,24290.61,24546.42,2041842
2009-11-24,24745.12,24929.42,24559.01,24743.3,2069378
2009-11-25,24328.71,24679.72,24001.5,24352.19,2187628
2009-11-26,24757.62,25033.21,24497.13,24772.57,1384298
2009-11-27,24933.44,25292.3,24425.32,24781.99,1421036
2009-11-30,24599.96,25192.73,24140.36,24730.69,1846582
2009-12-01,24442.29,24637.21,24264.72,24459.51,1930221
2009-12-02,25124.94,25594.82,24565.76,25033.94,1523758
2009-12-03,24884.05,25457.29,24422.77,24993.97,2408136
2009-12-04,24782.83,25263.75,24350.71,24830.79,667398
2009-12-07,24662.74,25059.37,24305.89,24701.95,1279167
2009-12-08,24950.81,25324.62,24593.96,24967.53,1676205
2009-12-09,25039.24,25526.73,24673.96,25159.7,1186277
2009-12-10,25419.65,25810.03,24984.65,25374.34,5269883
2009-12-11,25649.71,25784.3,25464.22,25598.54,2005325
2009-12-14,26672.37,27189.05,26115.86,26631.75,2204611
2009-12-15,26394.88,26828.76,26031.05,26463.98,1483717
2009-12-16,26253.43,26692.44,25807.73,26246.62,1964076
2009-12-17,25819.69,26165.52,25544.48,25889.55,956320
2009-12-18,26176.35,26338.38,26040.6,26202.49,1790686
2009-12-21,26937.53,27278.18,26426.15,26764.62,1130075
2009-12-22,26741.02,27078.17,26396.3,26733.35,1678746
2009-12-23,26260.87,26659.28,25957.43,26354.76,426791
2009-12-24,26002.34,26264.86,25725.91,25988.29,1007717
2009-12-25,26209.15,26546.06,25979.89,26315.87,4772380
2009-12-28,26595.47,27036.15,26252.04,26691.48,3263264
2009-12-29,26890.28,27261.25,26604.46,26974.53,4375028
2009-12-30,26637.78,27194.77,26117.04,26673.33,4559086
2009-12-31,26879.91,27084.03,26601.01,26804.57,2969168
2010-01-01,26926.58,27190.33,26616.65,26879.94,1510994
2010-01-04,27046.87,27301.37,26750.41,27004.5,1064110
2010-01-05,27359.2,27810.65,26999.44,27449.7,3945344
2010-01-06,27533.41,27922.62,27189.54,27578.19,2061080
2010-01-07,27957.52,28367.27,27525.31,27934.73,8854299
2010-01-08,27932.89,28524.37,27395.18,27985.65,1592699
2010-01-11,28124.61,28409.29,27863.66,28148.12,6476802
2010-01-12,28523.6,28962.62,28047.44,28485.88,1804736
2010-01-13,27734.53,27912.83,27585.44,27763.58,4419906
2010-01-14,27637.54,27884.5,27372.01,27618.81,5487673
2010-01-15,27530.76,27859.91,27072.25,27399.84,1073280
2010-01-18,27085.8,27247.87,26937.78,27099.77,1482145
2010-01-19,27074.0,27460.21,26593.7,26978.55,1066840
2010-01-20,27773.39,28194.85,27306.12,27726.87,947927
2010-01-21,27189.7,27752.36,26749.2,27309.91,2958639
2010-01-22,27709.67,28156.03,27356.41,27801.6,1762110
2010-01-25,26915.31,27362.14,26536.9,26982.79,2046046
2010-01-26,26762.01,27124.37,26469.2,26830.81,2768298
2010-01-27,26912.0,27070.55,26760.79,26919.29,650546
2010-01-28,27264.44,27441.64,27037.39,27214.26,4291125
2010-01-29,27677.81,28088.13,27165.2,27573.98,1608067
2010-02-01,28005.19,28563.43,27421.6,27979.33,2728986
2010-02-02,27775.32,27958.16,27629.86,27812.51,2877486
2010-02-03,27417.42,27958.46,27051.02,27589.76,4513023
2010-02-04,28032.54,28488.49,27570.75,28026.6,1861858
2010-02-05,27939.42,28425.61,27451.11,27937.26,554497
2010-02-08,27324.49,27684.58,26949.62,27309.5,2051899
2010-02-09,26933.09,27318.2,26381.29,26763.98,2236503
2010-02-10,26428.12,26836.46,25923.3,26330.12,1066020
2010-02-11,26634.51,27110.86,26096.71,26571.93,2166220
2010-02-12,26568.02,26827.02,26386.44,26644.92,1596603
2010-02-15,26941.1,27492.4,26432.11,26982.62,885889
2010-02-16,26772.38,26924.35,26628.07,26780.0,2966492
2010-02-17,26797.82,27331.51,26327.7,26860.3,1413762
2010-02-18,27208.73,27376.09,27000.83,27167.94,1553735
2010-02-19,27049.14,27263.35,26806.22,27020.21,1502217
2010-02-22,27157.15,27383.93,27019.78,27246.11,4161088
2010-02-23,27022.57,27338.16,26611.43,26925.89,1934675
2010-02-24,26760.89,27028.91,26484.74,26752.68,2079129
2010-02-25,26433.52,26770.37,26235.53,26571.35,1522125
2010-02-26,26003.06,26313.07,25697.1,26007.07,2617473
2010-03-01,26259.47,26549.26,25947.79,26237.33,4455237
2010-03-02,26093.55,26524.48,25587.94,26017.62,2924741
2010-03-03,25997.91,26503.02,25519.63,26024.26,2993998
2010-03-04,26316.19,26705.36,25862.77,26250.98,2852590
2010-03-05,26478.01,26659.81,26281.45,26463.15,866185
2010-03-08,26676.44,27034.68,26424.86,26782.1,1172124
2010-03-09,26621.04,27234.47,26123.23,26734.54,1753295
2010-03-10,26620.63,26789.17,26363.32,26531.29,1282704
2010-03-11,26587.77,26882.97,26198.57,26492.71,1046830
2010-03-12,25724.37,26216.67,25207.65,25699.47,644799
2010-03-15,25150.19,25634.58,24555.62,25037.84,883885
2010-03-16,24525.27,24799.17,24174.74,24447.78,1699907
2010-03-17,24060.97,24422.14,23651.28,24011.72,1901862
2010-03-18,24117.74,24470.46,23831.92,24183.86,1232022
2010-03-19,23915.08,24304.95,23403.66,23791.5,2078911
2010-03-22,23666.63,23796.17,23499.27,23628.61,1528350
2010-03-23,24158.06,24359.28,23985.03,24186.05,3814591
2010-03-24,23981.53,24371.24,23640.68,24029.7,1799509
2010-03-25,24367.72,24574.56,24142.28,24348.96,3011047
2010-03-26,23821.23,24300.15,23464.14,23941.26,2239869
2010-03-29,23900.94,24146.36,23605.97,23850.88,854915
2010-03-30,23377.37,23873.46,22949.57,23444.43,1877788
2010-03-31,23325.6,23728.87,22896.87,23299.69,944702
2010-04-01,23615.58,23945.71,23322.93,23652.6,1858216
2010-04-02,22908.14,23306.76,22528.02,22926.33,1267962
2010-04-05,23051.61,23313.55,22842.59,23104.07,2493449
2010-04-06,23189.64,23488.88,22901.77,23200.86,886102
2010-04-07,23081.86,23265.65,22769.02,22951.77,2000326
2010-04-08,22452.72,22854.93,21959.28,22359.82,2795298
2010-04-09,22410.41,22799.14,21998.28,22386.6,3417969
2010-04-12,22170.32,22582.9,21759.45,22172.0,1253561
2010-04-13,22319.18,22724.54,21858.46,22262.8,2003989
2010-04-14,22344.8,22778.15,21837.42,22269.31,2214391
2010-04-15,22861.37,23111.51,22668.76,22918.42,5016664
2010-04-16,22812.32,23250.64,22379.41,22817.62,815210
2010-04-19,22276.48,22702.82,21974.23,22398.91,1147778
2010-04-20,22544.84,22800.45,22214.4,22469.14,10667128
2010-04-21,22695.9,23000.15,22253.78,22556.16,1683089
2010-04-22,23118.23,23352.63,22878.34,23112.68,637560
2010-04-23,23311.06,23679.47,23093.61,23460.63,1397883
2010-04-26,23652.89,23856.77,23406.25,23609.76,376501
2010-04-27,24172.12,24389.02,24021.37,24237.86,2291122
2010-04-28,23675.61,24018.14,23380.89,23722.82,3223153
2010-04-29,23493.49,23923.8,23019.9,23449.41,1147392
2010-04-30,23077.48,23411.01,22726.61,23059.87,1494893
2010-05-03,22863.54,23190.49,22570.55,22897.07,3451061
2010-05-04,22291.68,22590.48,22036.91,22335.21,693752
2010-05-05,22599.22,22869.64,22320.37,22590.69,897220
2010-05-06,22471.65,22682.41,22288.75,22499.29,1729133
2010-05-07,21837.46,22290.39,21458.71,21910.37,1262493
2010-05-10,21491.09,21684.13,21319.68,21512.55,1662245
2010-05-11,21655.52,21996.58,21292.77,21633.48,928893
2010-05-12,21949.9,22321.8,21589.93,21961.64,2254836
2010-05-13,22668.21,23074.87,22359.4,22764.75,1812939
2010-05-14,24061.36,24493.11,23559.7,23990.17,2756615
2010-05-17,23970.93,24395.88,23746.42,24169.51,2236090
2010-05-18,23710.92,24175.41,23278.81,23742.72,2244546
2010-05-19,22806.36,23213.11,22442.8,22848.87,832522
2010-05-20,22969.69,23359.74,22569.6,22959.48,2664574
2010-05-21,22664.5,23003.75,22287.68,22626.37,1625750
2010-05-24,22534.34,22933.09,22061.02,22458.42,1794148
2010-05-25,22165.63,22655.06,21724.61,22213.1,3718974
2010-05-26,22196.82,22447.69,21907.39,22157.82,1287661
2010-05-27,22601.51,22990.46,22199.53,22588.24,4460228
2010-05-28,22537.23,23019.83,22172.84,22653.55,4717007
2010-05-31,22719.32,22987.25,22324.11,22590.52,3114784
2010-06-01,22079.31,22594.23,21661.92,22175.03,1100887
2010-06-02,21545.52,21780.72,21283.54,21518.44,534038
2010-06-03,21357.93,21645.88,21045.36,21332.97,3787818
2010-06-04,21332.24,21472.8,21174.17,21314.61,2119797
2010-06-07,21973.73,22190.94,21789.45,22006.38,1267911
2010-06-08,22115.6,22505.07,21672.35,22060.85,4009340
2010-06-09,22352.52,22703.52,22107.8,22457.65,1182409
2010-06-10,22255.61,22502.89,22012.77,22260.0,1537251
2010-06-11,21756.83,21983.08,21567.77,21793.69,2716715
2010-06-14,21378.45,21687.06,21113.91,21421.98,1016461
2010-06-15,21175.16,21536.98,20786.59,21147.95,1856700
2010-06-16,22049.14,22455.45,21573.1,21978.1,3811305
2010-06-17,21637.61,21790.99,21506.66,21659.91,2250507
2010-06-18,22045.5,22345.81,21694.38,21993.99,4191024
2010-06-21,21647.5,21907.47,21384.34,21644.27,3914356
2010-06-22,21956.49,22328.39,21644.4,22015.46,1991986
2010-06-23,22156.86,22433.66,21897.42,22174.02,487943
2010-06-24,22097.44,22360.15,21854.82,22117.31,1021248
2010-06-25,22060.87,22374.09,21794.42,22107.08,3134563
2010-06-28,21882.31,22182.76,21554.16,21854.22,782187
2010-06-29,22052.4,22328.38,21761.1,22036.89,1629827
2010-06-30,21759.52,22128.01,21496.62,21863.85,2429238
2010-07-01,21287.61,21763.02,20920.03,21393.61,4788570
2010-07-02,20940.67,21279.59,20575.54,20914.03,1404213
2010-07-05,20934.96,21198.69,20723.08,20986.29,1347696
2010-07-06,21618.59,21986.3,21231.65,21599.02,1921338
2010-07-07,21720.04,22106.76,21283.46,21669.27,2447426
2010-07-08,21548.78,21789.22,21391.42,21631.26,1807493
2010-07-09,21659.25,22050.23,21361.65,21751.36,3721215
2010-07-12,22389.66,22597.43,22071.02,22277.75,1227528
2010-07-13,22398.82,22759.17,22015.26,22375.22,2130988
2010-07-14,22191.92,22410.55,22001.47,22219.87,2589894
2010-07-15,22613.25,23018.54,22272.44,22676.78,1559475
2010-07-16,22827.84,23064.65,22626.34,22862.85,3281548
2010-07-19,23430.65,23812.51,23133.85,23514.64,2168128
2010-07-20,23666.18,24121.28,23149.74,23603.63,3182913
2010-07-21,23046.6,23348.06,22799.55,23100.43,2227660
2010-07-22,22623.82,23034.13,22140.88,22549.84,2485147
2010-07-23,23214.06,23702.28,22754.33,23242.0,1356698
2010-07-26,23912.0,24421.79,23478.64,23987.08,1358018
2010-07-27,23892.03,24101.75,23713.12,23922.62,4133511
2010-07-28,23584.19,24182.45,23176.3,23771.33,2903148
2010-07-29,24409.9,24552.62,24276.08,24418.75,1073270
2010-07-30,23938.57,24211.85,23677.65,23950.8,2210033
2010-08-02,23640.4,24067.37,23156.14,23582.05,477220
2010-08-03,23735.98,24237.04,23372.08,23871.07,1405123
2010-08-04,23799.32,24108.5,23408.55,23716.65,3529322
2010-08-05,23787.71,24045.05,23472.59,23729.3,1839331
2010-08-06,23763.59,24171.95,23267.83,23674.66,2128115
2010-08-09,23830.64,24207.26,23457.85,23834.41,324542
2010-08-10,24536.51,24831.59,24167.92,24462.1,1566959
2010-08-11,24410.27,24969.31,23961.43,24518.49,2428934
2010-08-12,24874.37,25084.54,24611.56,24821.28,2621281
2010-08-13,23883.22,24119.48,23702.77,23938.61,3532136
2010-08-16,23815.92,24284.95,23467.21,23934.5,1747759
2010-08-17,23511.3,24052.76,23050.95,23590.86,1795163
2010-08-18,23096.12,23297.26,22894.6,23095.73,891561
